EmployeeID,Turnover,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,Wages,CompaniesWorked,OverTime,SalaryHike,PerfoRating,StockOption,TotalWorkingYears,TrainingLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,Yes,41,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,Sales Executive,4,Single,5993,8,Yes,11,3,No,8,0,1,6,4,0,5
2,No,49,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,Research Scientist,2,Married,5130,1,No,23,4,Yes,10,3,3,10,7,1,7
4,Yes,37,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,Laboratory Technician,3,Single,2090,6,Yes,15,3,No,7,3,3,0,0,0,0
5,No,33,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,Research Scientist,3,Married,2909,1,Yes,11,3,No,8,3,3,8,7,3,0
7,No,27,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,Laboratory Technician,2,Married,3468,9,No,12,3,Yes,6,3,3,2,2,2,2
8,No,32,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,Laboratory Technician,4,Single,3068,0,No,13,3,No,8,2,2,7,7,3,6
10,No,59,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,Laboratory Technician,1,Married,2670,4,Yes,20,4,Yes,12,3,2,1,0,0,0
11,No,30,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,Laboratory Technician,3,Divorced,2693,1,No,22,4,Yes,1,2,3,1,0,0,0
12,No,38,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,Manufacturing Director,3,Single,9526,0,No,21,4,No,10,2,3,9,7,1,8
13,No,36,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,Healthcare Representative,3,Married,5237,6,No,13,3,Yes,17,3,2,7,7,7,7
14,No,35,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,Laboratory Technician,2,Married,2426,0,No,13,3,Yes,6,5,3,5,4,0,3
15,No,29,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,No,10,3,3,9,5,0,8
16,No,31,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2911,1,No,17,3,Yes,5,1,2,5,2,4,3
18,No,34,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,Laboratory Technician,4,Divorced,2661,0,No,11,3,Yes,3,2,3,2,2,1,2
19,Yes,28,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,Laboratory Technician,3,Single,2028,5,Yes,14,3,No,6,4,3,4,2,0,3
20,No,29,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,Manufacturing Director,1,Divorced,9980,1,No,11,3,Yes,10,1,3,10,9,8,8
21,No,32,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,Research Scientist,2,Divorced,3298,0,Yes,12,3,Yes,7,5,2,6,2,0,5
22,No,22,Non-Travel,Research & Development,16,2,Medical,4,Male,4,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,Yes,1,2,2,1,0,0,0
23,No,53,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,Manager,4,Married,15427,2,No,16,3,No,31,3,3,25,8,3,7
24,No,38,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,Research Scientist,4,Single,3944,5,Yes,11,3,No,6,3,3,3,2,1,2
26,No,24,Non-Travel,Research & Development,11,2,Other,1,Female,4,Manufacturing Director,3,Divorced,4011,0,No,18,3,Yes,5,5,2,4,2,1,3
27,Yes,36,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,Sales Representative,1,Single,3407,7,No,23,4,No,10,4,3,5,3,0,3
28,No,34,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,Research Director,2,Single,11994,0,No,11,3,No,13,4,3,12,6,2,11
30,No,21,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,Research Scientist,4,Single,1232,1,No,14,3,No,0,6,3,0,0,0,0
31,Yes,34,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,Research Scientist,1,Single,2960,2,No,11,3,No,8,2,3,4,2,1,3
32,No,53,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,Manager,3,Divorced,19094,4,No,11,3,Yes,26,3,2,14,13,4,8
33,Yes,32,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,Research Scientist,1,Single,3919,1,Yes,22,4,No,10,5,3,10,2,6,7
35,No,42,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,Sales Executive,2,Married,6825,0,No,11,3,Yes,10,2,3,9,7,4,2
36,No,44,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,Healthcare Representative,4,Married,10248,3,No,14,3,Yes,24,4,3,22,6,5,17
38,No,46,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,Manager,1,Single,18947,3,No,12,3,No,22,2,2,2,2,2,1
39,No,33,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,Laboratory Technician,4,Single,2496,4,No,11,3,No,7,3,3,1,1,0,0
40,No,44,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,Healthcare Representative,4,Married,6465,2,Yes,13,3,No,9,5,4,4,2,1,3
41,No,30,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,Laboratory Technician,3,Single,2206,1,No,13,3,No,10,5,3,10,0,1,8
42,Yes,39,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,Sales Representative,4,Married,2086,3,No,14,3,Yes,19,6,4,1,0,0,0
45,Yes,24,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,Research Scientist,4,Married,2293,2,Yes,16,3,Yes,6,2,2,2,0,2,0
46,No,43,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,Research Scientist,3,Divorced,2645,1,No,12,3,Yes,6,3,2,5,3,1,4
47,Yes,50,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,Sales Representative,3,Married,2683,1,Yes,14,3,No,3,2,3,3,2,0,2
49,No,35,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,Sales Representative,4,Married,2014,1,No,13,3,No,2,3,3,2,2,2,2
51,No,36,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,Research Scientist,1,Married,3419,9,Yes,14,3,Yes,6,3,4,1,1,0,0
52,No,33,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,Sales Executive,1,Married,5376,2,No,19,3,Yes,10,3,3,5,3,1,3
53,No,35,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,Laboratory Technician,4,Divorced,1951,1,No,12,3,Yes,1,3,3,1,0,0,0
54,No,27,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,Laboratory Technician,1,Divorced,2341,1,No,13,3,Yes,1,6,3,1,0,0,0
55,Yes,26,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,2293,1,No,12,3,No,1,2,2,1,0,0,1
56,No,27,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,Sales Executive,3,Single,8726,1,No,15,3,No,9,0,3,9,8,1,7
57,No,30,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,Laboratory Technician,4,Single,4011,1,No,23,4,No,12,2,3,12,8,3,7
58,Yes,41,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,Research Director,3,Married,19545,1,No,12,3,No,23,0,3,22,15,15,8
60,No,34,Non-Travel,Sales,23,4,Marketing,2,Male,3,Sales Executive,3,Single,4568,0,No,20,4,No,10,2,3,9,5,8,7
61,No,37,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,Research Scientist,2,Married,3022,4,No,21,4,No,8,1,3,1,0,0,0
62,No,46,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,Sales Executive,4,Single,5772,4,Yes,21,4,No,14,4,3,9,6,0,8
63,No,35,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,Laboratory Technician,4,Married,2269,1,No,19,3,No,1,2,3,1,0,0,1
64,Yes,48,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,Laboratory Technician,3,Single,5381,9,Yes,13,3,No,23,2,3,1,0,0,0
65,Yes,28,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Laboratory Technician,3,Single,3441,1,Yes,13,3,No,2,3,2,2,2,2,2
68,No,44,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,Sales Executive,1,Divorced,5454,5,Yes,21,4,Yes,9,2,2,4,3,1,3
70,No,35,Non-Travel,Research & Development,11,2,Medical,3,Male,2,Healthcare Representative,1,Married,9884,2,Yes,13,3,Yes,10,3,3,4,0,2,3
72,No,26,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,Sales Executive,4,Married,4157,7,Yes,19,3,Yes,5,2,2,2,2,0,0
73,No,33,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,Research Director,4,Single,13458,1,Yes,12,3,No,15,1,3,15,14,8,12
74,No,35,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,Sales Executive,1,Married,9069,1,No,22,4,Yes,9,3,2,9,8,1,8
75,No,35,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,Laboratory Technician,1,Married,4014,3,Yes,15,3,Yes,4,3,3,2,2,2,2
